"행정구역(시군구)별",2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"전국",19865179,20033142,20211770,20456588,20724094,21011152,21294009,21632851,22042947,22481466,23093108,23472895
"서울특별시",4224181,4192752,4177970,4182351,4194176,4189948,4189839,4220082,4263868,4327605,4417954,4426007
"부산광역시",1371346,1381257,1389526,1404663,1421648,1437818,1451270,1467555,1480468,1497908,1530431,1544663
"대구광역시",934598,940770,948652,960265,970618,982360,994220,1006753,1021266,1031251,1056627,1063893
"인천광역시",1059664,1077563,1097491,1118988,1136280,1154004,1171399,1188917,1213201,1238641,1267956,1298647
"광주광역시",540875,549105,555538,563599,573043,580427,586464,592818,603107,616485,633582,645712
"대전광역시",555768,566324,575600,584877,592508,597008,606137,614639,624965,635343,652783,664417
"울산광역시",405501,412561,422177,431595,442250,451688,455352,458547,461756,468659,476893,482650
"세종특별자치시",,,46592,50045,62807,81806,94343,109490,123762,135408,144275,153649
"경기도",4527282,4579405,4639665,4712324,4786718,4885012,5003406,5131379,5306214,5468920,5676401,5841995
"강원도",639001,648649,655301,664913,673978,685005,692254,700265,707245,719524,736301,746220
"충청북도",617431,627006,633166,644062,656321,669503,680960,692140,707220,722123,745644,760672
"충청남도",854432,868768,842446,857699,871459,885968,902294,923499,943611,959255,983153,1001915
"전라북도",740650,754479,760189,766699,774562,782986,790084,797916,806235,816191,836660,849001
"전라남도",799520,805051,808682,815769,823667,833901,842688,851376,860303,872628,893152,903108
"경상북도",1101486,1114901,1125195,1139387,1153559,1169648,1180643,1193261,1207351,1227548,1254662,1276846
"경상남도",1268731,1286678,1301439,1320887,1343984,1367142,1385684,1406011,1425271,1450822,1484601,1505971
"제주특별자치도",224713,227873,232141,238465,246516,256928,266972,278203,287104,293155,302033,307529
